sample,name,source,soil,fraction,ri,bouyantdensity,GC
4_5,GcA,GcA,Craibstone pH 4.5,0,,,
4_5_10,GcA10,GcA,Craibstone pH 4.5,10,1.3961,1.661,47.3
4_5_11,GcA11,GcA,Craibstone pH 4.5,11,1.3956,1.656,44.1
4_5_12,GcA12,GcA,Craibstone pH 4.5,12,1.3951,1.65,40.9
4_5_13,GcA13,GcA,Craibstone pH 4.5,13,1.3946,1.645,37.6
4_5_14,GcA14,GcA,Craibstone pH 4.5,14,1.3941,1.639,34.4
4_5_4,GcA4,GcA,Craibstone pH 4.5,4,1.3994,1.697,68.7
4_5_5,GcA5,GcA,Craibstone pH 4.5,5,1.3988,1.691,64.8
4_5_6,GcA6,GcA,Craibstone pH 4.5,6,1.3982,1.684,60.9
4_5_7,GcA7,GcA,Craibstone pH 4.5,7,1.3976,1.677,57
4_5_8,GcA8,GcA,Craibstone pH 4.5,8,1.3972,1.673,54.5
4_5_9,GcA9,GcA,Craibstone pH 4.5,9,1.3966,1.667,50.6
7_5,GcB,GcB,Craibstone pH 7.5,0,,,
7_5_10,GcB10,GcB,Craibstone pH 7.5,10,1.3966,1.6665555,50.6
7_5_11,GcB11,GcB,Craibstone pH 7.5,11,1.396,1.6599993,46.7
7_5_12,GcB12,GcB,Craibstone pH 7.5,12,1.3955,1.6545358,43.5
7_5_13,GcB13,GcB,Craibstone pH 7.5,13,1.395,1.6490723,40.2
7_5_14,GcB14,GcB,Craibstone pH 7.5,14,1.3945,1.6436088,37
7_5_4,GcB4,GcB,Craibstone pH 7.5,4,1.4,1.7037073,72.6
7_5_5,GcB5,GcB,Craibstone pH 7.5,5,1.3994,1.6971511,68.7
7_5_6,GcB6,GcB,Craibstone pH 7.5,6,1.3989,1.6916876,65.4
7_5_7,GcB7,GcB,Craibstone pH 7.5,7,1.3982,1.6840387,60.9
7_5_8,GcB8,GcB,Craibstone pH 7.5,8,1.3976,1.6774825,57
7_5_9,GcB9,GcB,Craibstone pH 7.5,9,1.3971,1.672019,53.8
CM,GcC,GcC,Corsemaul,0,,,
CM_10,GcC10,GcC,Corsemaul,10,1.3962,1.6621847,48
CM_11,GcC11,GcC,Corsemaul,11,1.3957,1.6567212,45
CM_5,GcC5,GcC,Corsemaul,5,1.3993,1.6960584,68
CM_6,GcC6,GcC,Corsemaul,6,1.3986,1.6884095,64
CM_7,GcC7,GcC,Corsemaul,7,1.398,1.6818533,60
CM_8,GcC8,GcC,Corsemaul,8,1.3973,1.6742044,55
CM_9,GcC9,GcC,Corsemaul,9,1.3967,1.6676482,51
LD,GcL,GcL,Lower Dell,0,,,
LD_10,GcL10,GcL,Lower Dell,10,1.3963,1.6632774,48.63247
LD_11,GcL11,GcL,Lower Dell,11,1.3957,1.6567212,44.75233
LD_12,GcL12,GcL,Lower Dell,12,1.3952,1.6512577,41.51888
LD_13,GcL13,GcL,Lower Dell,13,1.3948,1.6468869,38.93212
LD_4,GcL4,GcL,Lower Dell,4,1.3997,1.7004292,70.61993
LD_5,GcL5,GcL,Lower Dell,5,1.3992,1.6949657,67.38648
LD_6,GcL6,GcL,Lower Dell,6,1.3985,1.6873168,62.85965
LD_7,GcL7,GcL,Lower Dell,7,1.398,1.6818533,59.6262
LD_8,GcL8,GcL,Lower Dell,8,1.3974,1.6752971,55.74606
LD_9,GcL9,GcL,Lower Dell,9,1.3968,1.6687409,51.86592
