Phylum,4_5_0,4_5_0-1,4_5_0-2,4_5_0-3,4_5_10,4_5_11,4_5_12,4_5_13,4_5_14,4_5_4,4_5_5,4_5_6,4_5_7,4_5_8,4_5_9,7_5_0,7_5_0-1,7_5_0-2,7_5_0-3,7_5_10,7_5_11,7_5_12,7_5_13,7_5_14,7_5_4,7_5_5,7_5_6,7_5_7,7_5_8,7_5_9,CM_0,CM_0-1,CM_0-2,CM_0-3,CM_10,CM_11,CM_5,CM_6,CM_7,CM_8,CM_9,LD_0,LD_0-1,LD_0-2,LD_0-3,LD_10,LD_11,LD_12,LD_13,LD_4,LD_5,LD_6,LD_7,LD_8,LD_9
Acidobacteriota,0.0618266098722125,0.0259459155563052,0.0306015968160749,0.0226171882722761,0.0794206705337273,0.0442654434935019,0.028214478895849,0.0214196040560116,0.0257770578110762,0.00514589905362776,0.00343483104344597,0.00909142244056694,0.01185,0.0974949015310626,0.144223967834407,0.185302209026775,0.15810804007451,0.113004029059992,0.151318601201699,0.352313837805246,0.190645870228519,0.106394659405332,0.071471375494387,0.0814830574036825,0.128473937053832,0.165655405162819,0.257533990562071,0.297526831544564,0.247213908170413,0.288701285952685,0.229488557825219,0.15862793139657,0.191410675018325,0.175677335363907,0.267932681373664,0.249955621826961,0.122928528105496,0.267833981841764,0.488526990589454,0.506248742426614,0.294100421677339,0.279252601866764,0.175906502846868,0.157021724330012,0.15110694100038,0.180714386559368,0.119359562628136,0.0846964740094511,0.0883936028706654,0.067728412226927,0.0935117573262135,0.222465247399631,0.274065365624265,0.374959394867511,0.323172777378385
Actinobacteriota,0.22016203123695,0.202395007589813,0.209794452398864,0.192582194895316,0.0588814709423224,0.0523950700154761,0.043325016140008,0.0356542732979237,0.0448719246734839,0.580757097791798,0.44411437059042,0.253656332938054,0.17255,0.110887894560619,0.0644801012620528,0.109715904448016,0.10066455218245,0.117159988579043,0.104960152852151,0.0149984926138077,0.0191392664348049,0.0150863015503536,0.0121249650433462,0.013848058177317,0.345934539577066,0.26894768965641,0.148390412558987,0.0769015398973402,0.0382729414761511,0.0131540198291941,0.0491015205037629,0.0949597479873994,0.0886253081895116,0.0890422735869912,0.00916534000454856,0.0123193808357298,0.153469898847606,0.0545673522327219,0.0113926537026125,0.0071094815444119,0.00978057160705919,0.0356035811384141,0.0404554989511537,0.0246332858822801,0.0365033621517771,0.00517671419831521,0.00525236747046764,0.00516558572002525,0.00597024159371423,0.316417030061725,0.212838163862708,0.0871974336541266,0.0322125558429344,0.00287716367348833,0.00148574167265756
Alphaproteobacteria,0.0666917230435146,0.0427840557710688,0.0476618050331254,0.0435143631007691,0.0279449855897268,0.0289757789338256,0.0240442497949783,0.0201834862385321,0.0316695352839931,0.0198738170347003,0.0131359079093947,0.0330340504828054,0.08715,0.0911027912215018,0.0417705967759949,0.0537411815977991,0.0548003826209535,0.0606896989308715,0.0522663850969153,0.0249849261380766,0.0214223227430815,0.0147129869559489,0.014282289960449,0.0167491876837382,0.0175997844924348,0.020679998563889,0.0495724898378732,0.0870275314979001,0.0752722409730625,0.0420143319917542,0.0962678544002457,0.0949247462373119,0.0712334244019458,0.0918424995701407,0.0424152831476006,0.0451414776156495,0.158009039150085,0.166875115805077,0.0846949161622114,0.0437747322765991,0.0445299078556926,0.0846104559544219,0.105511210395837,0.0854428421117782,0.104505953577732,0.0434843992658478,0.0409840866933516,0.0301899787637032,0.0260308720264794,0.0481788114348312,0.0775243670987873,0.157042869641295,0.127580531389607,0.0927189196714465,0.0468727534148095
Bacteroidota,0.0156811158439823,0.0113003879237645,0.0100225689809984,0.0105573238963247,0.0109445113275692,0.105218996475919,0.182163982481548,0.206856591018831,0.12736660929432,0.000157728706624606,0,0.00011293692472754,0,0,0.000781802613454451,0.0351918938795522,0.0223027740019131,0.0247454078233559,0.0204640872866229,0.0674178474525173,0.213689803059722,0.325508366638851,0.248312093004674,0.129429057713136,0.000314281865936335,0.000251319426991706,0.000607391487174695,0.00326644890340644,0.00299305865121314,0.0137430057916953,0.017831362309937,0.0168008400420021,0.014126740854268,0.0132151015696004,0.0562883784398453,0.101874534029183,0.000841306176752558,0.00314989809153233,0.0026785235977929,0.00310760356815489,0.0217671404029361,0.0320189793409181,0.0101615495682022,0.00847929689917683,0.00855617362553895,0.0304955527318933,0.0968466269647564,0.140905699362911,0.12981408729545,0.000210663801638964,0,0,0.00437338349400423,0.00552229801846953,0.0119338605319914
Chloroflexi,0.223523761797377,0.362793051104739,0.352367316232679,0.379371700836282,0.249352449746452,0.150696425574761,0.0903316989757638,0.0716175760502173,0.079700313860484,0.309148264984227,0.418585220943186,0.441018691061042,0.2635,0.21775789121237,0.258032091135848,0.126304033993408,0.164829079192468,0.168522572253418,0.166880357995827,0.097640940608984,0.0504619455053662,0.0244411260924942,0.018517038871799,0.025085099798855,0.238539936245679,0.228700678562453,0.193057048077372,0.128604759682688,0.0618353180920843,0.090703838225189,0.0939947780678851,0.0811340567028351,0.0947557806357033,0.0956989511434256,0.0315214919263134,0.0325558277416835,0.259141867699712,0.105822679266259,0.0421063909573043,0.0377160231617072,0.0438856785881618,0.0712937468613088,0.0785408777617348,0.0691960141115306,0.0806246230145433,0.148289331262648,0.101259396661134,0.0348007423137998,0.0338416803291366,0.234342412943184,0.195161964808441,0.131184990765043,0.0609922407712203,0.0467307067613346,0.128492691109514
Crenarchaeota,0.0408210139480498,0.0359532242649126,0.0424927803528527,0.0389276605840138,0.032249826711904,0.126475359400347,0.18603758440788,0.189145340415258,0.253174040700618,7.88643533123028e-05,0,0,0.00715,0.0152497488813807,0.00912103049030192,0.0543131860648816,0.142526305190555,0.14936074363123,0.146843653367524,0.0347829363883027,0.0854119102993578,0.179191005314243,0.351903639487036,0.486287327866316,0.000112243523548691,0,0,0,0,0.00436831255521743,0.10233451082783,0.253657682884144,0.2517825014993,0.241458082582103,0.189356379349557,0.218961905776263,0.058930562892528,0.146701871410043,0.131283369939823,0.122202597867156,0.17298531938154,0.158207352762914,0.232544201378484,0.255090672773411,0.219980787704131,0.0861452303637818,0.250122034560187,0.492969063881077,0.542982646085316,0.000400261223114032,0.00049860070125776,0.00801983085447652,0.0563837291323771,0.0449208779989791,0.0303378864126528
Cyanobacteria,0.00415518249394471,0.00157418339236521,0.00157740189773582,0.00205610802475238,0.00098500601948123,0.012604650295538,0.0204847237005112,0.0390342829550942,0.0768046977827276,0,0,0,0,0.00015219310260859,0,0.00179772832511644,0,0.000761397163795565,0.000276541720089499,0.000942116370214049,0.0103697697740414,0.0123852606614256,0.0100475410490991,0.0145443292588581,0,0,0,0,0,0,0.00135155890032253,0.000210010500525026,0,0.00024563385817101,0.00136456675005686,0.00147335534490716,0,0,0,0.000111784301012766,0.000741839762611276,0.00053682442377959,0.00351431607050426,0.0026304388190877,0.00319460268525345,0.0047531648548167,0.00480328028897784,0.00227668407660372,0.003665666470752,0,4.825168076688e-05,0,0,0,0.00138988737119578
Firmicutes,0.0160569614967009,0.0278293135435993,0.0303589196010387,0.0472509440303671,0.0462952829156178,0.133430292181761,0.221737537296505,0.258792853693868,0.208423610408019,0.00100552050473186,0.000556999628666914,0.000564684623637698,0,0.00252640550330259,0.00707345221696884,0.0102688420995288,0.00498414136837336,0.00466355762824783,0.00573195565276416,0.0172218872475128,0.0765357287643758,0.113707233519259,0.139427110383125,0.104382639641034,0.00116733264490639,0.000430833303414354,0,0.000699953336444237,0,0,0.000460758716019045,0.000700035001750087,0.000199906710201906,0.000564957873793324,0.000886968387536957,0.00143785280647566,0,0.000115805076894571,0.000285709183764576,0.000581278365266382,0.000312353584257379,0.000242436836545621,0.0018252649358433,0.00114501454477935,0.00169783079775708,0.000352957786248765,0.00363174851117837,0.00587346228165834,0.00705292789309246,0.000252796561966757,0,0,0,0.000835305582625644,0
Gammaproteobacteria,0.134239538962666,0.125878450553775,0.115174606256219,0.101559874261086,0.120681478238663,0.0776789543361116,0.0639493290991258,0.0534620956059874,0.0618001417434444,0.0253746056782334,0.0442814704790197,0.15562708227455,0.234,0.189845676193955,0.147165034808831,0.112276305395909,0.0801741932235815,0.0845785349449573,0.0785127083490459,0.0589011154657823,0.0557748522414492,0.0361456366111819,0.0253485677759578,0.0263809376450565,0.0276568042023975,0.0580547876350842,0.117833948511891,0.166122258516099,0.163408265936445,0.110336703641897,0.075702657041929,0.0259012950647532,0.021956420337176,0.0279285696740439,0.159131225835797,0.14481485426208,0.0361566003404355,0.0549147674634056,0.0644452777628971,0.105770305618279,0.143975480243636,0.100957625504355,0.0544037921922249,0.06353283406573,0.0527667940039765,0.0755094357381524,0.0576198379381041,0.0385505749105588,0.0297738732329013,0.0311782426425667,0.0458230128349471,0.100806843588996,0.106936280272749,0.0553621977817996,0.0709801102324467
Gemmatimonadota,0.0133007600434311,0.0084331253162422,0.00691630062853399,0.00533797275656867,0.00248075590091569,0.00344949749212209,0.00298372040271501,0.00318686624818928,0.00376632580743141,0.00660488958990536,0.0139714073523951,0.0148512056016715,0.019,0.0121145709676437,0.00353672610848442,0.0121482853485141,0.0169913910285455,0.0131023761936487,0.0144304497573975,0.00169580946638529,0.00296583950327523,0.0025692827967851,0.00193759737924973,0.00278508432616432,0.00931621245454137,0.0174846515635659,0.0247161612858011,0.0177321511899207,0.00375724383875693,0.00112888976146069,0.00975272615573645,0.0155057752887644,0.0136602918637969,0.0173663137726904,0.00168296565840346,0.00266269038236234,0.0558001213046115,0.0140124143042431,0.00301780325351333,0.00174383509579915,0.00197173200062471,0.00971479037872097,0.0118506007028632,0.0101813455468218,0.0107008020016532,0.00136477010682856,0.00126915942594943,0.000899194551263655,0.00123735577071798,0.0249425941140534,0.0448097275388426,0.0224555263925343,0.00728897249000705,0.00120655250823704,0
Halanaerobiaeota,0.00265179988307024,0.00539720020239501,0.00514475695876914,0.00856052667997865,0.00598299952573784,0.0237176259998881,0.0376890998237686,0.0308643167551907,0.0138503594208768,0,0,0,0,0.000243508964173744,0.00126577565987863,0.00119848555007763,0.00140965614459044,0.00123727039116779,0.00140784875681927,0.00180886343081097,0.00891885548466938,0.0159207694672581,0.0144420918061604,0.00756227758007117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latescibacterota,0,0,0,0,0,0.000205105256288341,0.00013958925860655,0,0,0.000118296529968454,0,0,0,0,0,0.0248140985481982,0.0236117404218899,0.0200501253132832,0.024763054026196,0.0108908652396744,0.00527023278639554,0.0056436382801177,0.00629219767488315,0.0048932384341637,0.0226731917568356,0.0443399274763939,0.044246133719572,0.0437237517498833,0.0196777685792524,0.0113870619416904,0.0131316234065428,0,0,0,0,0,0.000391305198489562,0,0,0,0,6.92676675844633e-05,0.00814558531070368,0.00807699449155165,0.00726046064830329,0.00258835709915761,0.00238211461485893,0.00302282423616293,0.00298512079685712,0.0395205291874697,0.0520796474410525,0.0354816759016234,0.0191864566188573,0.00654322706390088,0.00412173496285646
Methylomirabilota,0,0,0,0,0,9.32296619492458e-05,0,0,6.0747190442442e-05,7.88643533123028e-05,0,0,0,0,0,0.0292539427450767,0.0271107083522127,0.0323911043431363,0.0318525781230359,0.00704703044920109,0.00501418908827106,0.00494092845535597,0.00485398106348128,0.00551214606220022,0.0812418623445427,0.0822891609521416,0.0663458393683129,0.0332244517032198,0.00827867286505763,0.00554628448021989,0.0180310244202119,0.00147007350367518,0.00203238488705271,0.00216157795190489,0.00113713895838071,0.00102957361451344,0.014321770264718,0.00759681304428386,0.00294637595757219,0.00136376847235574,0.0015617679212869,0.00377508788335325,0.0301032500612962,0.035526397227208,0.0300247972655988,0.00534142783189797,0.00681440984086693,0.00572040788995389,0.00615584495932193,0.049021466641387,0.11073760735999,0.0801983085447652,0.0209734305196332,0.010162884588612,0.00579918523843757
Myxococcota,0.00480247222918233,0.000393545848091303,0.000533889873079817,0.000672189161938277,0.000948524315055999,0.00104417221383155,0.00113416272617822,0.000946402704007726,0.000911207856636631,0.00305599369085174,0.00241366505755663,0.000847026935456547,0.0018,0.00234377378017228,0,0.0218723612889167,0.0118813875044052,0.00920021572919641,0.00965382004676069,0.00369309617123907,0.00667847312608018,0.00386490403618956,0.00431464983420559,0.00361674145133839,0.0240650114488394,0.0157254155746239,0.0151847871793674,0.00695286980867942,0.00643189199516016,0.00461372337292628,0.011104285056059,0.00189009450472524,0.00223229159725461,0.00162118346392867,0.00188765067091199,0.00191713707530088,0.0180000391305198,0.00671669445988512,0.0016606846306316,0.00116255673053276,0.00142511322817429,0.00453703222678234,0.00648377693627918,0.00516803862103113,0.00556262985054621,0.00440020706856793,0.00503758664453773,0.00330980122060877,0.00222724038729236,0.0465567001622111,0.0384726734647924,0.0225527364634976,0.00489066541264989,0.00422293377882964,0.00138988737119578
Nitrospirota,0.000229683454439155,0,0,0,0.000291853635401846,0.000186459323898492,8.72432866290939e-05,5.79430226943506e-05,0,0,0,0,0,0.000821842754086385,0.00055843043818175,0.00463051235257266,0.00171172531843125,0.00225246660956188,0.00165925032053699,0.00606722942417847,0.00334990505046195,0.00149325837761869,0.000958811074267908,0.00191474547423797,0,0,0,0,0.0309495000955231,0.0207617551781683,0.0137306097373675,0.00752537626881344,0.00513093889518225,0.00491267716342021,0.0749602001364567,0.0409876806191643,0.000332609418716128,0.00122753381508245,0.0040713558686452,0.0179302018824476,0.0722512884585351,0.0265987843524339,0.00514888168469229,0.00612737513152194,0.00755087907423542,0.059343969127959,0.0350873767450942,0.0111921023933881,0.0077644074612553,8.42655206555858e-05,0.0001608389358896,0.00106931078059687,0.00230425581942158,0.0110445960369391,0.0234363767074047
Patescibacteria,0.0420111918483254,0.00674650025299376,0.00575144999635984,0.00911409422510429,0.162562474918828,0.141895545486752,0.038997749123205,0.0190246257846451,0.0181634099422902,0.00013801261829653,0,0,0.0014,0.0236203695248531,0.0762443691597483,0.00457603573666004,0.00440517545184514,0.00393388534627708,0.00319279985921512,0.0144709074464878,0.0529583715620799,0.0250340375071369,0.00904877951340338,0.00460312548352158,0.000314281865936335,0.000430833303414354,0,9.33271115258983e-05,0.000254728395847927,0.00107980759791892,0.00451543541698664,0.0100105005250263,0.0088292130339175,0.0103903122006337,0.0162610871048442,0.0124791422586715,9.78262996223905e-05,0,0.000124997767897002,0.000983701848912339,0.00829689208183664,0.00403484163679498,0.00909908191898003,0.00888159930680201,0.0075061993163997,0.0322603416631371,0.0256955969930684,0.00983374466701104,0.00508862560707767,0,3.216778717792e-05,0,0,0.000324841059909973,0.00575125808770669
Planctomycetota,0.0901403157103483,0.0773598695676618,0.0764433227364283,0.0793974021865918,0.0494327094961877,0.0288079655423169,0.0172218247805831,0.0176339932399807,0.0197428368937937,0.0429022082018927,0.0515224656516896,0.061832966288328,0.1361,0.150397223997808,0.0804139830981721,0.115190804347234,0.113502492070684,0.121982170616414,0.117178268848832,0.0673801627977088,0.0384705656432031,0.0232772629452326,0.0172585993368223,0.0240213523131673,0.0758541732142055,0.0778372168168599,0.0678876792972948,0.113392440503966,0.16614659619181,0.127319132227349,0.153494086929811,0.126636331816591,0.124408609315653,0.129154282626317,0.0400727768933364,0.0351475130471829,0.0777719081998004,0.103761348897536,0.103176728986982,0.0623532831049207,0.0561846009682961,0.0893206573501654,0.108398942980903,0.134245218790617,0.133994593749302,0.0852510706386183,0.064395196719711,0.0445196961870325,0.0471123209700869,0.103815121447682,0.0887026731431145,0.101827549334111,0.243639783682107,0.24265627175275,0.134962856458184
RCP2-54,0.000605529107157772,0.000815202113903413,0.000679496202101585,0.000751270239813369,0.000547225566378461,0.000615315768865022,0.000418767775819651,0.000193143408981169,0.000263237825250582,0,0,0.000847026935456547,0.0014,0.000821842754086385,0,0.00258763925584943,0.00208931178573227,0.00256971542781003,0.00236317469894663,0.0141694302080193,0.00343525294983677,0.00140541964952347,0.000858934920698334,0.0017406777038527,0.000269384456516859,0,0,0,0,0.01359575930107,0.00969129166026724,0.00693034651732587,0.00766309055773972,0.00638648031244627,0.00256993404594041,0.00363901018922853,0.00422609614368727,0.0110941263664999,0.00998196460777486,0.00451608576091574,0.00327971263470248,0.00680554834017352,0.0182254065981965,0.0147923500649873,0.0193016553850278,0.0101887147630477,0.00638484818900713,0.00340546021542406,0.0036037986822161,0.000463460363605722,0.00049860070125776,0.00228443666763877,0.00996943334117094,0.0097916376630006,0.0111190989695663
Verrucomicrobiota,0.028793953061054,0.00146174172148198,0.00128618923969229,0.00217472964156501,0.111561052132356,0.0361917547686972,0.0156688942785853,0.0107001448575567,0.0125139212311431,0.00013801261829653,0,0,0.0011,0.0182631723130308,0.113696437213804,0.0732438100945169,0.0540200372551981,0.0552012943751785,0.0521909646278,0.182054567380163,0.0681502976507991,0.0297992885063024,0.0201749830210539,0.0237892619526536,0.0028734342028465,0.0015797221125193,0.00322384712423492,0.0180587960802613,0.158632108514297,0.237655835869245,0.0618491783136231,0.0826041302065103,0.080662357566469,0.0679177617842843,0.0540368433022515,0.0333901373948237,0.00397174776466905,0.00884750787474523,0.0223388868055928,0.0551767309799012,0.0748282055286584,0.0426515663151333,0.0665813060179257,0.0764684037878319,0.0880414628152715,0.120240952515412,0.0564287806306746,0.0343989745355756,0.0257988678194698,0.00240156733868419,0.0013671309550616,0,0.00677169057136139,0.0755487493619193,0.175700934579439
WPS-2,0.0298379687630502,0.0613931523022432,0.0616885480622224,0.0539332951108124,0.0318120462588012,0.0205105256288341,0.0179372197309417,0.0158184451955577,0.0146805710235902,0.00423895899053628,0.00719457853694764,0.0285165734937038,0.0609,0.0599640824277844,0.040728193291389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020426969743511,0.00280014000700035,0.00483107882987939,0.0023580850384417,0,0.000727802037845706,0.00199565651229677,0.00210765239948119,0.00123212085498473,0.0010954861499251,0.000546618772450414,0.00135071951789703,0.00422262783665241,0.00269233149718388,0.00397649844737841,0.000423549343498518,0.000566240359269745,0.000535690370965582,0.000355739784081418,0.00191704059491458,0.00270209412294528,0.00296490716438223,0.00197507641664707,0,0
